iter	Passed	Remaining
0	146	146593
1	148	73888
2	148	49508
3	149	37310
4	150	30000
5	151	25121
6	152	21636
7	153	19021
8	154	16988
9	155	15358
10	156	14029
11	157	12944
12	158	12018
13	159	11211
14	160	10511
15	161	9905
16	162	9372
17	163	8896
18	163	8466
19	165	8095
20	166	7747
21	167	7428
22	167	7136
23	168	6866
24	169	6619
25	170	6397
26	171	6189
27	172	5995
28	173	5812
29	174	5642
30	175	5481
31	176	5331
32	177	5190
33	177	5056
34	178	4930
35	179	4811
36	180	4697
37	181	4590
38	182	4488
39	182	4391
40	183	4298
41	184	4218
42	186	4142
43	187	4066
44	188	3995
45	189	3922
46	189	3852
47	190	3784
48	191	3720
49	192	3659
50	193	3601
51	194	3547
52	195	3494
53	196	3441
54	197	3390
55	198	3342
56	199	3297
57	200	3252
58	201	3210
59	202	3167
60	203	3125
61	203	3084
62	204	3045
63	205	3007
64	206	2969
65	207	2933
66	208	2898
67	208	2864
68	209	2831
69	210	2798
70	211	2766
71	212	2740
72	213	2712
73	214	2685
74	215	2658
75	216	2631
76	217	2604
77	218	2578
78	218	2552
79	219	2526
80	220	2502
81	221	2478
82	221	2451
83	222	2429
84	223	2406
85	224	2385
86	225	2365
87	226	2344
88	227	2324
89	227	2304
90	228	2287
91	229	2268
92	230	2250
93	231	2232
94	232	2214
95	233	2196
96	234	2178
97	234	2161
98	235	2144
99	236	2128
100	237	2112
101	238	2097
102	239	2082
103	240	2068
104	240	2053
105	241	2039
106	242	2024
107	243	2011
108	244	1998
109	245	1986
110	246	1973
111	247	1960
112	248	1947
113	249	1935
114	249	1923
115	250	1911
116	251	1897
117	252	1886
118	253	1874
119	254	1863
120	254	1851
121	255	1839
122	256	1828
123	257	1817
124	258	1808
125	259	1798
126	260	1787
127	260	1777
128	261	1767
129	262	1757
130	263	1747
131	264	1737
132	265	1728
133	265	1718
134	266	1709
135	267	1700
136	268	1691
137	269	1682
138	270	1674
139	271	1665
140	271	1656
141	272	1646
142	273	1639
143	274	1632
144	275	1624
145	276	1615
146	277	1607
147	277	1600
148	279	1593
149	279	1586
150	280	1579
151	281	1571
152	282	1565
153	283	1558
154	284	1552
155	285	1546
156	286	1539
157	287	1532
158	288	1526
159	289	1519
160	290	1511
161	290	1505
162	291	1498
163	292	1491
164	293	1485
165	294	1478
166	295	1472
167	296	1466
168	297	1461
169	298	1455
170	298	1449
171	299	1443
172	300	1437
173	301	1431
174	302	1425
175	303	1419
176	304	1414
177	305	1408
178	305	1403
179	306	1397
180	307	1392
181	308	1386
182	309	1380
183	310	1375
184	310	1369
185	311	1364
186	312	1359
187	313	1353
188	314	1348
189	315	1343
190	315	1338
191	316	1332
192	317	1328
193	318	1323
194	319	1319
195	320	1314
196	321	1309
197	322	1304
198	322	1300
199	323	1295
200	324	1290
201	325	1286
202	326	1281
203	327	1276
204	328	1272
205	328	1267
206	329	1262
207	330	1258
208	331	1253
209	332	1249
210	333	1245
211	333	1241
212	335	1237
213	336	1234
214	336	1230
215	337	1226
216	338	1222
217	339	1218
218	340	1214
219	341	1210
220	342	1206
221	343	1202
222	343	1198
223	344	1194
224	345	1190
225	346	1186
226	347	1183
227	348	1179
228	349	1175
229	350	1172
230	351	1168
231	351	1165
232	352	1161
233	353	1158
234	354	1154
235	355	1150
236	356	1147
237	357	1143
238	357	1139
239	358	1136
240	359	1132
241	360	1129
242	361	1125
243	362	1122
244	363	1119
245	364	1115
246	364	1112
247	366	1110
248	367	1107
249	368	1104
250	369	1101
251	369	1098
252	370	1094
253	371	1091
254	372	1088
255	373	1084
256	374	1081
